"","countrycode","long name","income group","region","lending category","other groups","currency unit","latest population census","latest household survey","special notes","national accounts base year","national accounts reference year","system of national accounts","sna price valuation","alternative conversion factor","ppp survey year","balance of payments manual in use","external debt reporting status","system of trade","government accounting concept","imf data dissemination standard","source of most recent income and expenditure data","vital registration complete","latest agricultural census","latest industrial data","latest trade data","latest water withdrawal data","2-alpha code","wb-2 code","table name","short name","iso3.countrycode"
"56","EAP","East Asia & Pacific (developing only)","","","","","","","","East Asia and Pacific regional aggregate (does not include high-income economies).","","","","","","","","","","","","","","","","","","","","East Asia & Pacific","East Asia & Pacific (developing only)",NA
"57","EAS","East Asia & Pacific (all income levels)","","","","","","","","East Asia and Pacific regional aggregate (including high-income economies).","","","","","","","","","","","","","","","","","","","","East Asia & Pacific (all income levels)","East Asia & Pacific (all income levels)",NA
"58","ECA","Europe & Central Asia (developing only)","","","","","","","","Europe and Central Asia regional aggregate (does not include high-income economies).","","","","","","","","","","","","","","","","","","","","Europe & Central Asia","Europe & Central Asia (developing only)",NA
"59","ECS","Europe & Central Asia (all income levels)","","","","","","","","Europe and Central Asia regional aggregate (including high-income economies).","","","","","","","","","","","","","","","","","","","","Europe & Central Asia (all income levels)","Europe & Central Asia (all income levels)",NA
"62","EMU","Euro area","","","","","","","","Euro area aggregate.","","","","","","","","","","","","","","","","","","","","Euro area","Euro area",NA
"86","HIC","High income","","","","","","","","High income group aggregate. High-income economies are those in which 2009 GNI per capita was $12,196 or more.","","","","","","","","","","","","","","","","","","","","High income","High income",NA
"89","HPC","Heavily indebted poor countries (HIPC)","","","","","","","","Heavily indebted poor countries aggregate.","","","","","","","","","","","","","","","","","","","","Heavily indebted poor countries (HIPC)","Heavily indebted poor countries (HIPC)",NA
"114","LAC","Latin America & Caribbean (developing only)","","","","","","","","Latin America and Caribbean regional aggregate (does not include high-income economies).","","","","","","","","","","","","","","","","","","","","Latin America & Caribbean","Latin America & Caribbean (developing only)",NA
"120","LCN","Latin America & Caribbean (all income levels)","","","","","","","","Latin America and Caribbean regional aggregate (including high-income economies).","","","","","","","","","","","","","","","","","","","","Latin America & Caribbean (all income levels)","Latin America & Caribbean (all income levels)",NA
"121","LDC","Least developed countries: UN classification","","","","","","","","Least developed countries (UN classification) aggregate.","","","","","","","","","","","","","","","","","","","","Least developed countries: UN classification","Least developed countries: UN classification",NA
"122","LIC","Low income","","","","","","","","Low income group aggregate. Low-income economies are those in which 2009 GNI per capita was $995 or less.","","","","","","","","","","","","","","","","","","","","Low income","Low income",NA
"125","LMC","Lower middle income","","","","","","","","Lower middle income group aggregate. Lower-middle-income economies are those in which 2009 GNI per capita was between $996 and $3,945.","","","","","","","","","","","","","","","","","","","","Lower middle income","Lower middle income",NA
"126","LMY","Low & middle income","","","","","","","","Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2009 GNI per capita was $12,195 or less.","","","","","","","","","","","","","","","","","","","","Low & middle income","Low & middle income",NA
"137","MEA","Middle East & North Africa (all income levels)","","","","","","","","Middle East and North Africa regional aggregate (including high-income economies).","","","","","","","","","","","","","","","","","","","","Middle East & North Africa (all income levels)","Middle East & North Africa (all income levels)",NA
"140","MIC","Middle income","","","","","","","","Middle income group aggregate. Middle-income economies are those in which 2009 GNI per capita was between $996 and $12,195.","","","","","","","","","","","","","","","","","","","","Middle income","Middle income",NA
"145","MNA","Middle East & North Africa (developing only)","","","","","","","","Middle East and North Africa regional aggregate (does not include high-income economies).","","","","","","","","","","","","","","","","","","","","Middle East & North Africa","Middle East & North Africa (developing only)",NA
"154","NAC","North America","","","","","","","","North America regional aggregate. There are no economies in North America classified as low or middle income.","","","","","","","","","","","","","","","","","","","","North America","North America",NA
"161","NOC","High income: nonOECD","","","","","","","","High income nonOECD aggregate. High-income economies are those in which 2009 GNI per capita was $12,196 or more.","","","","","","","","","","","","","","","","","","","","High income: nonOECD","High income: nonOECD",NA
"165","OEC","High income: OECD","","","","","","","","High income OECD member aggregate. High-income economies are those in which 2009 GNI per capita was $12,196 or more.","","","","","","","","","","","","","","","","","","","","High income: OECD","High income: OECD",NA
"183","SAS","South Asia","","","","","","","","South Asia regional aggregate. There are no economies in South Asia classified as high income.","","","","","","","","","","","","","","","","","","","","South Asia","South Asia",NA
"219","UMC","Upper middle income","","","","","","","","Upper middle income group aggregate. Upper-middle-income economies are those in which 2009 GNI per capita was between $3,946 and $12,195.","","","","","","","","","","","","","","","","","","","","Upper middle income","Upper middle income",NA
"225","VIR","Virgin Islands of the United States","High income: nonOECD","Latin America & Caribbean","","","U.S. dollar","2000","","","1982","","","","","","","","General","","","","Yes","","","","","VI","VI","Virgin Islands (U.S.)","Virgin Islands",NA
"229","WLD","World","","","","","","","","World aggregate.","","","","","","","","","","","","","","","","","","","","World","World",NA
