"","countrycode","ranking","economy","us.dollars","Comments","iso3.countrycode"
"6","USA","1","United States",16244600,"","USA"
"7","CHN","2","China",8227103,"","CHN"
"8","JPN","3","Japan",5959718,"","JPN"
"9","DEU","4","Germany",3428131,"","DEU"
"10","FRA","5","France",2612878,"","FRA"
"11","GBR","6","United Kingdom",2471784,"","GBR"
"12","BRA","7","Brazil",2252664,"","BRA"
"13","RUS","8","Russian Federation",2014775,"","RUS"
"14","ITA","9","Italy",2014670,"","ITA"
"15","IND","10","India",1841710,"","IND"
"16","CAN","11","Canada",1821424,"","CAN"
"17","AUS","12","Australia",1532408,"","AUS"
"18","ESP","13","Spain",1322965,"","ESP"
"19","MEX","14","Mexico",1178126,"","MEX"
"20","KOR","15","Korea, Rep.",1129598,"","KOR"
"21","IDN","16","Indonesia",878043,"","IDN"
"22","TUR","17","Turkey",789257,"","TUR"
"23","NLD","18","Netherlands",770555,"","NLD"
"24","SAU","19","Saudi Arabia",711050,"","SAU"
"25","CHE","20","Switzerland",631173,"","CHE"
"26","SWE","21","Sweden",523806,"","SWE"
"27","IRN","22","Iran, Islamic Rep.",514060,"","IRN"
"28","NOR","23","Norway",499667,"","NOR"
"29","POL","24","Poland",489795,"","POL"
"30","BEL","25","Belgium",483262,"","BEL"
"31","ARG","26","Argentina",475502,"","ARG"
"32","AUT","27","Austria",394708,"","AUT"
"33","ZAF","28","South Africa",384313,"","ZAF"
"34","VEN","29","Venezuela, RB",381286,"","VEN"
"35","COL","30","Colombia",369606,"","COL"
"36","THA","31","Thailand",365966,"","THA"
"37","ARE","32","United Arab Emirates",348595,"","ARE"
"38","DNK","33","Denmark",314887,"","DNK"
"39","MYS","34","Malaysia",305033,"","MYS"
"40","SGP","35","Singapore",274701,"","SGP"
"41","CHL","36","Chile",269869,"","CHL"
"42","HKG","37","Hong Kong SAR, China",263259,"","HKG"
"43","EGY","38","Egypt, Arab Rep.",262832,"","EGY"
"44","NGA","39","Nigeria",262597,"","NGA"
"45","ISR","40","Israel",258217,"","ISR"
"46","PHL","41","Philippines",250182,"","PHL"
"47","GRC","42","Greece",249099,"","GRC"
"48","FIN","43","Finland",247546,"","FIN"
"49","PAK","44","Pakistan",225143,"","PAK"
"50","PRT","45","Portugal",212274,"","PRT"
"51","IRL","46","Ireland",210771,"","IRL"
"52","IRQ","47","Iraq",210280,"","IRQ"
"53","DZA","48","Algeria",205789,"","DZA"
"54","PER","49","Peru",203790,"","PER"
"55","KAZ","50","Kazakhstan",203521,"","KAZ"
"56","CZE","51","Czech Republic",196446,"","CZE"
"57","ROM","52","Romania",192711,"","ROU"
"58","UKR","53","Ukraine",176309,"","UKR"
"59","QAT","54","Qatar",171476,"","QAT"
"60","NZL","55","New Zealand",167347,"","NZL"
"61","KWT","56","Kuwait",160913,"","KWT"
"62","VNM","57","Vietnam",155820,"","VNM"
"63","HUN","58","Hungary",124600,"","HUN"
"64","BGD","59","Bangladesh",116355,"","BGD"
"65","AGO","60","Angola",114147,"","AGO"
"66","PRI","61","Puerto Rico",101496,"","PRI"
"67","MAR","62","Morocco",95982,"Includes Former Spanish Sahara","MAR"
"68","SVK","63","Slovak Republic",91149,"","SVK"
"69","ECU","64","Ecuador",84040,"","ECU"
"70","SYR","65","Syrian Arab Republic",73672,"","SYR"
"71","OMN","66","Oman",69972,"","OMN"
"72","CUB","67","Cuba",68234,"","CUB"
"73","AZE","68","Azerbaijan",66605,"","AZE"
"74","BLR","69","Belarus",63267,"","BLR"
"75","LKA","70","Sri Lanka",59423,"","LKA"
"76","HRV","71","Croatia",59228,"","HRV"
"77","DOM","72","Dominican Republic",59047,"","DOM"
"78","SDN","73","Sudan",58769,"Excludes South Sudan","SDN"
"79","LUX","74","Luxembourg",55178,"","LUX"
"80","UZB","75","Uzbekistan",51113,"","UZB"
"81","BGR","76","Bulgaria",50972,"","BGR"
"82","GTM","77","Guatemala",50234,"","GTM"
"83","URY","78","Uruguay",49920,"","URY"
"84","TUN","79","Tunisia",45662,"","TUN"
"85","SVN","80","Slovenia",45279,"","SVN"
"86","CRI","81","Costa Rica",45104,"","CRI"
"87","MAC","82","Macao SAR, China",43582,"","MAC"
"88","LBN","83","Lebanon",42945,"","LBN"
"89","LTU","84","Lithuania",42344,"","LTU"
"90","ETH","85","Ethiopia",41605,"","ETH"
"91","GHA","86","Ghana",40711,"","GHA"
"92","KEN","87","Kenya",40697,"","KEN"
"93","SRB","88","Serbia",37489,"","SRB"
"94","PAN","89","Panama",36253,"","PAN"
"95","YEM","90","Yemen, Rep.",35646,"","YEM"
"96","TKM","91","Turkmenistan",35164,"","TKM"
"97","JOR","92","Jordan",31015,"","JOR"
"98","BHR","93","Bahrain",29044,"","BHR"
"99","LVA","94","Latvia",28373,"","LVA"
"100","TZA","95","Tanzania",28242,"Covers mainland Tanzania only","TZA"
"101","BOL","96","Bolivia",27035,"","BOL"
"102","PRY","97","Paraguay",25502,"","PRY"
